id,price_doc
30474,5339811.26
30475,7972532.51
30476,5295153.03
30477,5676786.105
30478,4862839.56
30479,9107736.0
30480,4168232.0975
30481,4143143.745
30482,4646882.685
30483,4648998.755
30484,6352876.885
30485,4850135.565
30486,3562763.9325
30487,3752601.2225
30488,5930841.23
30489,6047328.885
30490,22128342.48
30491,19458696.98
30492,5642817.175
30493,13425905.78
30494,6501090.175
30495,10487495.77
30496,8617454.7
30497,8350569.52
30498,4489950.355
30499,7815628.125
30500,10928298.14
30501,6784937.975
30502,3032278.16
30503,6510546.82
30504,5708840.27
30505,11048067.78
30506,3161395.8325
30507,4640520.35
30508,5309915.96
30509,7381304.535
30510,8988921.74
30511,6535755.415
30512,6200438.515
30513,4178959.97
30514,3413834.215
30515,9449211.63
30516,5745653.575
30517,11086575.62
30518,8217118.035
30519,4453534.765
30520,6917157.46
30521,5821210.35
30522,7458593.155
30523,6377405.495
30524,10535459.45
30525,11470470.42
30526,4751732.33
30527,4849772.315
30528,6591961.535
30529,6585588.65
30530,6091033.805
30531,14341495.14
30532,4685774.985
30533,10430586.64
30534,6555859.47
30535,9264584.24
30536,5687949.01
30537,11459218.22
30538,5020609.725
30539,8816587.43
30540,9423344.21
30541,5712361.395
30542,2085888.2125
30543,5558424.155
30544,6707486.195
30545,8381470.15
30546,4071036.855
30547,9460455.11
30548,4382265.355
30549,5058573.305
30550,11854495.79
30551,5032324.495
30552,1840000.33375
30553,7232203.995
30554,10781038.03
30555,6094686.07
30556,8924376.64
30557,7494092.175
30558,9292815.42
30559,6158401.635
30560,6067237.1
30561,6697555.49
30562,11921184.88
30563,4944349.86
30564,7056856.185
30565,6603998.155
30566,6966884.06
30567,1950060.7075
30568,9600648.55
30569,9679297.15
30570,6607014.73
30571,7355980.185
30572,4793593.755
30573,6416152.63
30574,6029456.67
30575,7509583.35
30576,4752566.32
30577,4124027.535
30578,3183719.7125
30579,7008179.965
30580,4505525.125
30581,5475144.18
30582,12494928.37
30583,6722698.945
30584,4306383.05
30585,2478824.07
30586,8950984.87
30587,5673948.91
30588,7908723.525
30589,7236657.185
30590,12398051.35
30591,5135824.215
30592,6332286.13
30593,8042688.09
30594,6771501.4
30595,5500879.46
30596,6659540.955
30597,6416206.53
30598,9381606.7
30599,10419842.57
30600,5075731.69
30601,5895437.425
30602,1726003.81875
30603,11945745.76
30604,4567560.495
30605,6614456.055
30606,24167447.16
30607,6760814.69
30608,8613595.75
30609,6061538.715
30610,2945985.09
30611,5349905.42
30612,7080989.95
30613,8447991.51
30614,15953844.1
30615,7374549.865
30616,5461324.1
30617,9195659.98
30618,4933154.35
30619,4286019.575
30620,2559443.015
30621,8764839.98
30622,7715648.325
30623,6189943.16
30624,6650414.73
30625,7878117.91
30626,6142337.735
30627,7072350.405
30628,6350722.765
30629,5186616.9
30630,4763693.11
30631,6007939.87
30632,3967762.7725
30633,5801772.37
30634,11144757.31
30635,9407514.06
30636,5269464.06
30637,9382042.7
30638,5886611.69
30639,7427447.8
30640,4504209.985
30641,8125182.795
30642,6424666.985
30643,7693459.815
30644,9380828.65
30645,7205357.99
30646,5098691.03
30647,4643057.685
30648,23085140.12
30649,2045365.97875
30650,4932021.03
30651,3267205.8975
30652,4406090.145
30653,7174611.11
30654,4316508.64
30655,12337553.05
30656,3907827.9625
30657,6283872.205
30658,10407239.44
30659,4656387.55
30660,8291583.685
30661,6572848.96
30662,8169560.46
30663,16712086.99
30664,11883396.61
30665,6039395.485
30666,2467420.5975
30667,4062152.44
30668,8835486.72
30669,4825152.97
30670,2458604.3975
30671,7075390.555
