id,price_doc
30474,5430644.17178
30475,7939194.78528
30476,5384442.74029
30477,5421480.06135
30478,4883799.591
30479,9139919.2229
30480,4222868.86503
30481,4219189.92843
30482,4706774.53988
30483,4660082.82209
30484,6490908.99796
30485,4907825.66462
30486,3690181.74847
30487,3788757.41309
30488,5934630.87935
30489,5921978.01636
30490,21869642.1268
30491,19118421.2679
30492,5584664.62168
30493,13089782.2086
30494,6731369.6319
30495,11104429.4479
30496,8680976.48262
30497,8149953.47648
30498,4438365.03067
30499,7378354.29448
30500,10937798.5685
30501,6802660.5317
30502,3134589.72393
30503,6364974.94888
30504,5725902.35174
30505,11095494.8875
30506,3243024.28425
30507,4654153.37423
30508,5248473.41513
30509,7340392.12679
30510,9086711.65644
30511,6328151.32924
30512,6295519.93865
30513,4159255.62372
30514,3706243.35378
30515,9537133.94683
30516,5750878.83436
30517,11171006.135
30518,8656975.46012
30519,4482553.68098
30520,7079559.3047
30521,5785623.21063
30522,7327941.20654
30523,6327729.03885
30524,10153097.137
30525,10655322.0859
30526,4847054.70348
30527,4981334.35583
30528,6398630.87935
30529,6674648.77301
30530,6147591.00204
30531,14471391.6155
30532,4685005.62372
30533,10453097.137
30534,6767014.31493
30535,9255739.2638
30536,5645237.73006
30537,11363080.7771
30538,5100635.48057
30539,8569347.64826
30540,9459269.93865
30541,5960433.02658
30542,1994517.76585
30543,5719881.90184
30544,6426481.08384
30545,8201960.1227
30546,4195868.35378
30547,9535205.52147
30548,4415949.89775
30549,4887815.43967
30550,11851645.1943
30551,4972145.70552
30552,1715359.27914
30553,7385506.64622
30554,10837310.8384
30555,6193975.46012
30556,9058988.75256
30557,7286463.70143
30558,9260153.37423
30559,6124557.77096
30560,6165721.88139
30561,6740529.65235
30562,11717256.6462
30563,5135446.31902
30564,7040018.40491
30565,6664338.95706
30566,6980278.62986
30567,1862718.68609
30568,10016223.9264
30569,9688874.23313
30570,6513082.82209
30571,7385479.03885
30572,4837352.24949
30573,6399754.08998
30574,5981673.31288
30575,7534197.34151
30576,4763092.53579
30577,4206381.90184
30578,3156430.9816
30579,7139631.90184
30580,4473547.03476
30581,5437548.05726
30582,12642797.546
30583,6822170.2454
30584,4372915.13292
30585,2833435.3272
30586,8845154.39673
30587,5812734.15133
30588,8060782.20859
30589,7236720.8589
30590,12102583.8446
30591,5316497.44376
30592,6600612.47444
30593,8013360.42945
30594,6553457.05521
30595,5400544.98978
30596,6459082.82209
30597,6397862.47444
30598,9330396.72802
30599,10730683.0266
30600,5076783.23108
30601,6113296.01227
30602,1633529.39673
30603,12066763.8037
30604,4585288.85481
30605,6439272.49489
30606,23091940.6953
30607,6997380.3681
30608,8388637.01431
30609,5971225.97137
30610,3012709.1002
30611,5344324.64213
30612,7270790.38855
30613,8568343.04703
30614,16725520.4499
30615,7782289.36605
30616,5473091.51329
30617,9495188.13906
30618,4961072.59714
30619,4345348.67076
30620,2423713.44581
30621,8518081.79959
30622,7741820.0409
30623,6210857.36196
30624,6638312.37219
30625,7695452.96524
30626,6192298.56851
30627,7103345.09202
30628,6264394.68303
30629,5079563.39468
30630,4853137.52556
30631,6040702.45399
30632,3872577.19836
30633,5981450.409
30634,11233117.5869
30635,9418258.69121
30636,5330006.64622
30637,9346712.67894
30638,5760330.7771
30639,7440345.60327
30640,4476337.93456
30641,8118543.96728
30642,6493292.94479
30643,7599105.82822
30644,9327924.33538
30645,7300535.27607
30646,5118860.9407
30647,4780083.84458
30648,23316817.9959
30649,2104466.00204
30650,4931274.53988
30651,3313705.26585
30652,4397991.82004
30653,7436513.80368
30654,4474830.7771
30655,12673967.2802
30656,3836593.04703
30657,6531768.40491
30658,10401525.5624
30659,4607939.6728
30660,8539635.99182
30661,6552413.59918
30662,7851378.83436
30663,15980285.2761
30664,12015845.6033
30665,5940299.07975
30666,2593944.27403
30667,4243607.87321
30668,8717197.34151
30669,4921896.72802
30670,2516837.93456
30671,7133513.80368
30672,15258154.3967
30673,10375291.411
30674,12217621.6769
30675,1966798.4407
30676,6603080.26585
30677,4246105.31697
30678,19013472.3926
30679,5780493.86503
30680,5076023.51738
30681,2312571.57464
30682,8527021.98364
30683,9471257.66871
30684,4911056.23722
30685,7186624.23313
30686,9424243.35378
30687,4904269.93865
30688,4244899.02863
30689,14840844.5808
30690,24539458.0777
30691,4407388.54806
30692,5898615.03067
30693,11075724.9489
30694,5524999.48875
30695,7047562.37219
30696,6636849.69325
30697,12664662.5767
30698,7836716.76892
30699,5641803.68098
30700,4911941.20654
30701,9327924.33538
30702,6001484.15133
30703,3750152.86299
30704,11496872.1881
30705,8824412.06544
30706,23456973.4151
30707,3601829.7546
30708,13994167.6892
30709,6020722.39264
30710,7473669.73415
30711,4634633.43558
30712,3956884.96933
30713,6323336.91207
30714,6927093.55828
30715,3863097.13701
30716,9471257.66871
30717,6218218.30266
30718,8561040.8998
30719,13321071.5746
30720,7146117.07566
30721,4863942.74029
30722,7323205.01022
30723,6054868.09816
30724,12060482.6176
30725,6723881.90184
30726,11505383.4356
30727,9515801.63599
30728,10700984.6626
30729,3176584.86708
30730,5971573.61963
30731,6310944.78528
30732,4272830.52147
30733,9724401.84049
30734,7051118.60941
30735,5417821.06339
30736,5170825.66462
30737,6658055.72597
30738,5880770.4499
30739,4533588.95706
30740,6850851.22699
30741,11453840.4908
30742,4160945.55215
30743,4938687.11656
30744,8975076.68712
30745,6654209.61145
30746,5517280.1636
30747,15701537.8323
30748,15826708.589
30749,4813445.80777
30750,6460413.59918
30751,3152117.07566
30752,7087152.35174
30753,9959662.57669
30754,5529822.59714
30755,4932158.99796
30756,6222518.91616
30757,5195852.24949
30758,10715302.6585
30759,5909949.3865
30760,4250108.38446
30761,9891000.0
30762,6650484.66258
30763,11771331.2883
30764,5862532.20859
30765,5950374.23313
30766,3617654.65235
30767,9662446.83027
30768,4417036.80982
30769,7102816.97342
30770,5872861.96319
30771,2883792.17791
30772,8384301.12474
30773,7863735.68507
30774,5623679.44785
30775,12566393.6605
30776,5797066.97342
30777,6014243.35378
30778,9069552.14724
30779,6404895.19427
30780,7621808.79346
30781,6589699.89775
30782,5270925.35787
30783,5432990.79755
30784,3555086.65644
30785,5326871.16564
30786,4132105.82822
30787,6075876.27812
30788,5533789.8773
30789,7489209.61145
30790,6277671.26789
30791,10014618.6094
30792,7124212.67894
30793,11090670.7566
30794,12799806.7485
30795,10710970.3476
30796,11321738.2413
30797,14121610.4294
30798,2676182.77096
30799,10270016.3599
30800,13946551.1247
30801,6116176.38037
30802,21796889.5706
30803,2952548.05726
30804,3697371.67689
30805,14746967.2802
30806,7062862.98569
30807,5969324.64213
30808,9974034.76483
30809,4901796.52352
30810,11226371.1656
30811,4367450.409
30812,5282071.06339
30813,4896717.28016
30814,2444403.11861
30815,3678902.35174
30816,8243498.46626
30817,1695035.14826
30818,7603107.87321
30819,8335628.32311
30820,5248448.36401
30821,24027120.6544
30822,8992125.76687
30823,7220940.18405
30824,3363850.71575
30825,5256623.21063
30826,10346262.7812
30827,5471479.03885
30828,5620306.74847
30829,5395253.06748
30830,8539586.91207
30831,6464493.35378
30832,5675607.87321
30833,5023861.96319
30834,4144205.7771
30835,7038662.57669
30836,6532067.99591
30837,5066689.16155
30838,4081197.34151
30839,5761044.98978
30840,10935086.9121
30841,10781685.0716
30842,7063125.25562
30843,5506709.1002
30844,6449375.76687
30845,9336271.98364
30846,4226036.04294
30847,5880741.82004
30848,8208165.13292
30849,4392135.99182
30850,3972583.58896
30851,4947913.59918
30852,6474679.9591
30853,4333838.95706
30854,5731639.0593
30855,7049195.29652
30856,8707027.60736
30857,2117677.01943
30858,4173050.6135
30859,5771262.26994
30860,5792955.52147
30861,8642630.87935
30862,6321787.32106
30863,5410277.60736
30864,6256239.2638
30865,9708426.38037
30866,6833832.82209
30867,5576834.86708
30868,8401518.91616
30869,5484131.39059
30870,4473026.58487
30871,8302964.72393
30872,4932262.26994
30873,3818196.31902
30874,4929356.33947
30875,5996906.95297
30876,4892325.66462
30877,10289467.2802
30878,5546597.13701
30879,11054155.4192
30880,6257904.39673
30881,1798008.43558
30882,10275992.8425
30883,3684646.72802
30884,5648366.56442
30885,5151953.47648
30886,7402501.53374
30887,5496320.55215
30888,4364694.27403
30889,5140738.24131
30890,7016378.32311
30891,3604915.38855
30892,3725858.64008
30893,4285628.32311
30894,5488615.54192
30895,4272764.82618
30896,6243543.96728
30897,7733238.24131
30898,6616399.7955
30899,6707965.23517
30900,3402636.24744
30901,6490425.86912
30902,1941963.06237
30903,7182383.43558
30904,7997808.28221
30905,5613626.78937
30906,5849280.1636
30907,12231588.9571
30908,3988687.11656
30909,12919921.2679
30910,6935488.24131
30911,4006475.97137
30912,6403337.42331
30913,19440505.1125
30914,6039130.3681
30915,7078999.48875
30916,5530718.81391
30917,9104511.24744
30918,6493019.93865
30919,4846735.68507
30920,4757091.00204
30921,3795104.29448
30922,5642433.53783
30923,3466932.25971
30924,5082518.91616
30925,14382922.2904
30926,6608391.10429
30927,7803961.14519
30928,5488657.46421
30929,5061603.27198
30930,10213191.2065
30931,11017152.3517
30932,4943394.17178
30933,4419724.94888
30934,13572669.7342
30935,6544438.65031
30936,7156442.22904
30937,8684645.19427
30938,3895613.49693
30939,9197331.28834
30940,6343377.30061
30941,6208239.77505
30942,3629096.11452
30943,6544544.47853
30944,5004609.9182
30945,3532086.40082
30946,13153828.2209
30947,6836055.21472
30948,8368317.48466
30949,6216622.69939
30950,5991682.00409
30951,15659904.908
30952,7627371.16564
30953,10198435.5828
30954,4728396.72802
30955,6421549.591
30956,7126279.1411
30957,5887644.17178
30958,28899218.8139
30959,8045345.60327
30960,7285734.15133
30961,9292142.12679
30962,10715854.8057
30963,3683483.89571
30964,4504992.84254
30965,6861457.05521
30966,12283234.1513
30967,11587484.6626
30968,3419431.49284
30969,3617654.65235
30970,6213120.6544
30971,10140923.3129
30972,3731541.15542
30973,5249365.03067
30974,4971624.23313
30975,7711107.87321
30976,5125240.2863
30977,6791290.8998
30978,7734684.04908
30979,3545565.43967
30980,7025002.55624
30981,5586922.80164
30982,6536629.3456
30983,3933208.58896
30984,5656161.55419
30985,3565241.82004
30986,9652960.1227
30987,9149022.49489
30988,6173158.99796
30989,7393787.32106
30990,13055497.955
30991,8958334.35583
30992,2725740.54192
30993,7390875.76687
30994,4632486.19632
30995,6925237.21881
30996,5669067.48466
30997,6956453.98773
30998,5827531.69734
