id,price_doc
30474,5051658.5
30475,7921315.0
30476,5002108.0
30477,5683926.5
30478,4859490.5
30479,7326822.5
30480,3811472.0
30481,4183217.75
30482,4552252.5
30483,4969807.5
30484,5951610.5
30485,4613879.0
30486,3442327.25
30487,3828861.0
30488,5806809.5
30489,6088474.0
30490,21001202.0
30491,14641248.0
30492,5363659.5
30493,11898098.0
30494,6737418.0
30495,8850453.0
30496,8026690.5
30497,7784826.5
30498,4020740.5
30499,6594690.5
30500,10965684.0
30501,6025787.5
30502,2836627.25
30503,5078409.5
30504,4833515.0
30505,10995801.0
30506,3047006.0
30507,4689335.5
30508,5017717.5
30509,7141292.5
30510,8605529.0
30511,5904934.5
30512,5482744.5
30513,3836138.0
30514,3404446.25
30515,9423163.0
30516,5657627.0
30517,9975726.0
30518,6504143.5
30519,4205490.0
30520,6374960.5
30521,3744866.0
30522,7289006.5
30523,5908370.5
30524,9203717.0
30525,8154492.5
30526,4774643.0
30527,4335665.0
30528,5841886.5
30529,6070801.5
30530,5669764.0
30531,13544738.0
30532,4547188.5
30533,9300475.0
30534,6596841.5
30535,8909768.0
30536,5819966.0
30537,10385329.0
30538,4553724.0
30539,8899645.0
30540,9242577.0
30541,4178947.25
30542,1881794.125
30543,4936557.5
30544,6265696.5
30545,7750070.0
30546,3857721.0
30547,8648739.0
30548,4616881.0
30549,5479712.5
30550,11056601.0
30551,5182040.0
30552,1817228.5
30553,6449135.0
30554,9313771.0
30555,5843212.5
30556,7345902.0
30557,6467390.5
30558,8746433.0
30559,5340222.0
30560,5374356.0
30561,6003429.0
30562,10648941.0
30563,3780163.0
30564,5921847.0
30565,5765990.5
30566,7366548.5
30567,1864898.75
30568,8417276.0
30569,8611448.0
30570,5848732.0
30571,6861547.0
30572,4771907.0
30573,6154629.0
30574,5096054.5
30575,7258720.0
30576,4266074.5
30577,3856496.25
30578,3046698.0
30579,6066507.5
30580,3920138.25
30581,5111766.5
30582,11140323.0
30583,6798145.5
30584,3794520.25
30585,2224995.5
30586,8727435.0
30587,5076724.0
30588,6443067.5
30589,6360289.0
30590,10642647.0
30591,4806802.5
30592,5928628.0
30593,7970548.0
30594,7190044.0
30595,4975541.0
30596,6979511.5
30597,6174429.5
30598,9045003.0
30599,10905113.0
30600,4894905.0
30601,5480580.5
30602,1803657.75
30603,11336150.0
30604,4256459.0
30605,6236128.0
30606,11070951.0
30607,5802093.5
30608,8550155.0
30609,6149583.5
30610,2830668.5
30611,5118430.0
30612,6566230.5
30613,7585167.0
30614,17227438.0
30615,6186807.5
30616,5186311.5
30617,9011218.0
30618,4368237.0
30619,3689966.0
30620,2776829.25
30621,8075200.0
30622,6749978.0
30623,5594786.5
